Statistical profiling result from isolate-0x1046a1000-5642-v8.log, (6527 ticks, 17 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *remove internal/linkedlist.js:15:16
      1    0.0%    0.0%  LazyCompile: *realpathSync fs.js:1650:22
      1    0.0%    0.0%  LazyCompile: *push internal/fixed_queue.js:99:7
      1    0.0%    0.0%  LazyCompile: *onevent /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/ee-first/index.js:81:26
      1    0.0%    0.0%  LazyCompile: *once events.js:434:44
      1    0.0%    0.0%  LazyCompile: *onParserExecuteCommon _http_server.js:658:31
      1    0.0%    0.0%  LazyCompile: *normalizeString path.js:52:25
      1    0.0%    0.0%  LazyCompile: *nativeModuleRequire internal/bootstrap/loaders.js:303:29
      1    0.0%    0.0%  LazyCompile: *module.exports /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:3:33
      1    0.0%    0.0%  LazyCompile: *matchKnownFields _http_incoming.js:157:26
      1    0.0%    0.0%  LazyCompile: *insert internal/timers.js:345:16
      1    0.0%    0.0%  LazyCompile: *hidden internal/errors.js:286:25
      1    0.0%    0.0%  LazyCompile: *handleRequest /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:148:27
      1    0.0%    0.0%  LazyCompile: *getColorDepth internal/tty.js:102:23
      1    0.0%    0.0%  LazyCompile: *get net.js:1684:6
      1    0.0%    0.0%  LazyCompile: *get /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/debug/src/common.js:125:9
      1    0.0%    0.0%  LazyCompile: *formatWithOptions internal/util/inspect.js:1893:27
      1    0.0%    0.0%  LazyCompile: *first /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/ee-first/index.js:24:15
      1    0.0%    0.0%  LazyCompile: *cloneCallSite /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/source-map-support/source-map-support.js:359:23
      1    0.0%    0.0%  LazyCompile: *_writeRaw _http_outgoing.js:330:19
      1    0.0%    0.0%  LazyCompile: *Socket.resume net.js:611:35
      1    0.0%    0.0%  LazyCompile: *Socket.end net.js:590:32
      1    0.0%    0.0%  LazyCompile: *Socket.connect net.js:927:36
      1    0.0%    0.0%  LazyCompile: *Readable.resume internal/streams/readable.js:944:37
      1    0.0%    0.0%  LazyCompile: *Module._nodeModulePaths internal/modules/cjs/loader.js:575:37
      1    0.0%    0.0%  LazyCompile: *CallSiteToString /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/source-map-support/source-map-support.js:292:26
      1    0.0%    0.0%  LazyCompile: *<anonymous> internal/streams/writable.js:610:17
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/source-map-support/source-map-support.js:361:76

 [C++]:
   ticks  total  nonlib   name
   2105   32.3%   33.3%  t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
    972   14.9%   15.4%  T __kernelrpc_mach_port_set_attributes
    487    7.5%    7.7%  T _vm_copy
    382    5.9%    6.0%  T __ZN4node7TCPWrap7ConnectERKN2v820FunctionCallbackInfoINS1_5ValueEEE
    366    5.6%    5.8%  T _host_get_clock_service
    348    5.3%    5.5%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_6WritevERKN2v820FunctionCallbackInfoINS2_5ValueEEEEEEEvS7_
    134    2.1%    2.1%  t __ZN4node2fsL4ReadERKN2v820FunctionCallbackInfoINS1_5ValueEEE
     87    1.3%    1.4%  T __ZN4node10HandleWrap5CloseERKN2v820FunctionCallbackInfoINS1_5ValueEEE
     73    1.1%    1.2%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_11WriteStringILNS_8encodingE1EEEiRKN2v820FunctionCallbackInfoINS4_5ValueEEEEEEEvS9_
     71    1.1%    1.1%  t __ZN4node2fsL22InternalModuleReadJSONERKN2v820FunctionCallbackInfoINS1_5ValueEEE
     59    0.9%    0.9%  t __ZN4node2fsL18InternalModuleStatERKN2v820FunctionCallbackInfoINS1_5ValueEEE
     50    0.8%    0.8%  T _posix_spawnattr_destroy
     46    0.7%    0.7%  T _mach_make_memory_entry_64
