Statistical profiling result from isolate-0x1046a1000-5642-v8.log, (6527 ticks, 17 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%            LazyCompile: ~Socket net.js:268:16
     26    4.5%      LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:199:10
     26  100.0%        LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
     21   80.8%          LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
     21  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      5   19.2%          LazyCompile: ~onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
      5  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
     16    2.8%      LazyCompile: *_storeHeader _http_outgoing.js:360:22
     13   81.3%        LazyCompile: *writeHead _http_server.js:250:19
     13  100.0%          LazyCompile: *end _http_outgoing.js:769:45
     13  100.0%            LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
      3   18.8%        LazyCompile: ~writeHead _http_server.js:250:19
      3  100.0%          LazyCompile: *end _http_outgoing.js:769:45
      3  100.0%            LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
     12    2.1%      LazyCompile: *Readable.on internal/streams/readable.js:857:33
      4   33.3%        LazyCompile: *connectionListenerInternal _http_server.js:418:36
      3   75.0%          LazyCompile: *connectionListener _http_server.js:412:28
      3  100.0%            LazyCompile: *onconnection net.js:1531:22
      1   25.0%          LazyCompile: ~defaultTriggerAsyncIdScope internal/async_hooks.js:421:36
      1  100.0%            LazyCompile: ~connectionListener _http_server.js:412:28
      2   16.7%        LazyCompile: ~initSocket /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/easy_sock/lib/easy_sock.js:174:20
      2  100.0%          LazyCompile: ~Easysock.write /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/easy_sock/lib/easy_sock.js:76:36
      2  100.0%            LazyCompile: ~data /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:5:34
      2   16.7%        LazyCompile: *value internal/console/constructor.js:258:20
      2  100.0%          LazyCompile: *warn internal/console/constructor.js:362:7
      2  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1    8.3%        LazyCompile: ~connectionListenerInternal _http_server.js:418:36
      1  100.0%          LazyCompile: ~defaultTriggerAsyncIdScope internal/async_hooks.js:421:36
      1  100.0%            LazyCompile: ~connectionListener _http_server.js:412:28
      1    8.3%        LazyCompile: *resOnFinish _http_server.js:756:21
      1  100.0%          LazyCompile: *onFinish _http_outgoing.js:764:18
      1  100.0%            LazyCompile: *callback internal/streams/writable.js:511:44
      1    8.3%        LazyCompile: *once events.js:434:44
      1  100.0%          LazyCompile: ~value internal/console/constructor.js:258:20
      1  100.0%            LazyCompile: ~warn internal/console/constructor.js:362:7
      1    8.3%        LazyCompile: *data /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:5:34
      1  100.0%          LazyCompile: *<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/index.js:20:24
      1  100.0%            LazyCompile: *dispatch /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa-compose/index.js:35:23
     10    1.7%      LazyCompile: *getColorDepth internal/tty.js:102:23
     10  100.0%        LazyCompile: *warn internal/console/constructor.js:362:7
     10  100.0%          t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
     10  100.0%            LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:199:10
      9    1.6%      LazyCompile: ~Socket net.js:268:16
      9  100.0%        LazyCompile: ~onconnection net.js:1531:22
      7    1.2%      LazyCompile: ~structuredStack structured-stack:3:38
      6   85.7%        LazyCompile: *isInsideNodeModules internal/util.js:353:29
      6  100.0%          LazyCompile: ~showFlaggedDeprecation buffer.js:180:32
      6  100.0%            LazyCompile: *data /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:5:34
      1   14.3%        LazyCompile: ~isInsideNodeModules internal/util.js:353:29
      1  100.0%          LazyCompile: ~showFlaggedDeprecation buffer.js:180:32
      1  100.0%            LazyCompile: ~Buffer buffer.js:280:16
      7    1.2%      LazyCompile: *dispatch /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa-compose/index.js:35:23
      7  100.0%        LazyCompile: *handleRequest /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:162:16
      7  100.0%          LazyCompile: *handleRequest /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:148:27
      7  100.0%            LazyCompile: *parserOnIncoming _http_server.js:809:26
      7    1.2%      LazyCompile: *WritableState internal/streams/writable.js:67:23
      7  100.0%        LazyCompile: *Socket net.js:268:16
      6   85.7%          LazyCompile: *onconnection net.js:1531:22
      1   14.3%          LazyCompile: ~onconnection net.js:1531:22
      6    1.0%      LazyCompile: ~resume_ internal/streams/readable.js:965:17
      6  100.0%        LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      6    1.0%      LazyCompile: ~insert internal/timers.js:345:16
      6  100.0%        LazyCompile: ~setTimeout timers.js:133:20
      5   83.3%          LazyCompile: *data /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:5:34
      5  100.0%            LazyCompile: *<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/index.js:20:24
      1   16.7%          LazyCompile: ~initSocket /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/easy_sock/lib/easy_sock.js:174:20
      1  100.0%            LazyCompile: ~Easysock.write /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/easy_sock/lib/easy_sock.js:76:36
      6    1.0%      Eval: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/traverse/lib/path/index.js:1:1
      6  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      6  100.0%          LazyCompile: ~_compile /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/pirates/lib/index.js:123:43
      6  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1072:37
     82    3.9%    T __ZN2v88internal24Builtin_ErrorConstructorEiPmPNS0_7IsolateE
     76   92.7%      LazyCompile: ~structuredStack structured-stack:3:38
     55   72.4%        LazyCompile: *isInsideNodeModules internal/util.js:353:29
     55  100.0%          LazyCompile: ~showFlaggedDeprecation buffer.js:180:32
     55  100.0%            LazyCompile: *data /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:5:34
     21   27.6%        LazyCompile: ~isInsideNodeModules internal/util.js:353:29
     21  100.0%          LazyCompile: ~showFlaggedDeprecation buffer.js:180:32
     12   57.1%            LazyCompile: ~Buffer buffer.js:280:16
      9   42.9%            LazyCompile: *data /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:5:34
      5    6.1%      LazyCompile: *exceptionWithHostPort internal/errors.js:525:31
      5  100.0%        LazyCompile: ~afterConnect net.js:1108:22
      1    1.2%      LazyCompile: ~exceptionWithHostPort internal/errors.js:525:31
      1  100.0%        LazyCompile: ~afterConnect net.js:1108:22
     68    3.2%    LazyCompile: *clearBuffer internal/streams/writable.js:493:21
     68  100.0%      LazyCompile: *end _http_outgoing.js:769:45
     68  100.0%        LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
     40   58.8%          LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
     40  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
     28   41.2%          LazyCompile: ~onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
     28  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
     50    2.4%    LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
     30   60.0%      LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
     30  100.0%        t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
     30  100.0%          LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     20   40.0%      LazyCompile: ~onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
     20  100.0%        t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
     20  100.0%          LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     27    1.3%    LazyCompile: ~structuredStack structured-stack:3:38
     16   59.3%      LazyCompile: *isInsideNodeModules internal/util.js:353:29
     16  100.0%        LazyCompile: ~showFlaggedDeprecation buffer.js:180:32
     16  100.0%          LazyCompile: *data /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:5:34
     16  100.0%            LazyCompile: *<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/index.js:20:24
     11   40.7%      LazyCompile: ~isInsideNodeModules internal/util.js:353:29
     11  100.0%        LazyCompile: ~showFlaggedDeprecation buffer.js:180:32
      7   63.6%          LazyCompile: *data /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:5:34
      5   71.4%            LazyCompile: *<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/index.js:20:24
      2   28.6%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      4   36.4%          LazyCompile: ~Buffer buffer.js:280:16
      4  100.0%            LazyCompile: ~initSocket /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/easy_sock/lib/easy_sock.js:174:20
     26    1.2%    LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     23    1.1%    T __ZN2v88internal21Builtin_HandleApiCallEiPmPNS0_7IsolateE
      6   26.1%      LazyCompile: *Socket._destroy net.js:653:37
      6  100.0%        LazyCompile: *destroy internal/streams/destroy.js:5:17
      5   83.3%          LazyCompile: *onceWrapper events.js:416:21
      5  100.0%            LazyCompile: *emit events.js:264:44
      1   16.7%          LazyCompile: ~afterConnect net.js:1108:22
      3   13.0%      LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:199:10
      3  100.0%        LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
      2   66.7%          LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
      2  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1   33.3%          LazyCompile: ~onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
      1  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      3   13.0%      LazyCompile: *clearBuffer internal/streams/writable.js:493:21
      3  100.0%        LazyCompile: *end _http_outgoing.js:769:45
      3  100.0%          LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
      2   66.7%            LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
      1   33.3%            LazyCompile: ~onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
      2    8.7%      LazyCompile: ~internalConnect net.js:865:25
      1   50.0%        LazyCompile: ~defaultTriggerAsyncIdScope internal/async_hooks.js:421:36
      1  100.0%          LazyCompile: ~<anonymous> net.js:1007:73
      1  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      1   50.0%        LazyCompile: *<anonymous> net.js:1007:73
      1  100.0%          LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      2    8.7%      LazyCompile: ~Socket._final net.js:403:35
      2  100.0%        LazyCompile: ~callFinal internal/streams/writable.js:609:19
      2  100.0%          LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      2    8.7%      LazyCompile: *writeOrBuffer internal/streams/writable.js:334:23
      2  100.0%        LazyCompile: *value internal/console/constructor.js:258:20
      2  100.0%          LazyCompile: *warn internal/console/constructor.js:362:7
      2  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1    4.3%      LazyCompile: ~writevGeneric internal/stream_base_commons.js:118:23
      1  100.0%        LazyCompile: ~Socket._writeGeneric net.js:759:42
      1  100.0%          LazyCompile: ~Socket._writev net.js:791:36
      1  100.0%            LazyCompile: ~doWrite internal/streams/writable.js:367:17
      1    4.3%      LazyCompile: ~openSync fs.js:467:18
      1  100.0%        LazyCompile: ~readFileSync fs.js:374:22
      1  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1072:37
      1  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:916:33
      1    4.3%      LazyCompile: ~getNewAsyncId net.js:151:23
      1  100.0%        LazyCompile: ~initSocketHandle net.js:239:26
      1  100.0%          LazyCompile: ~Socket.connect net.js:927:36
      1  100.0%            LazyCompile: *data /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:5:34
      1    4.3%      LazyCompile: ~getColorDepth internal/tty.js:102:23
      1  100.0%        LazyCompile: ~value internal/console/constructor.js:300:20
      1  100.0%          LazyCompile: ~value internal/console/constructor.js:328:20
      1  100.0%            LazyCompile: ~warn internal/console/constructor.js:362:7
      1    4.3%      LazyCompile: ~Socket._destroy net.js:653:37
      1  100.0%        LazyCompile: ~destroy internal/streams/destroy.js:5:17
      1  100.0%          LazyCompile: ~onceWrapper events.js:416:21
      1  100.0%            LazyCompile: ~emit events.js:264:44
     22    1.0%    T __ZN2v88internal30Builtin_ErrorCaptureStackTraceEiPmPNS0_7IsolateE
     13   59.1%      LazyCompile: ~exceptionWithHostPort internal/errors.js:525:31
     13  100.0%        LazyCompile: ~afterConnect net.js:1108:22
      9   40.9%      LazyCompile: *exceptionWithHostPort internal/errors.js:525:31
      9  100.0%        LazyCompile: ~afterConnect net.js:1108:22
     22    1.0%    LazyCompile: *Readable.on internal/streams/readable.js:857:33
     12   54.5%      LazyCompile: *connectionListenerInternal _http_server.js:418:36
      9   75.0%        LazyCompile: *connectionListener _http_server.js:412:28
      9  100.0%          LazyCompile: *onconnection net.js:1531:22
      2   16.7%        LazyCompile: *defaultTriggerAsyncIdScope internal/async_hooks.js:421:36
      2  100.0%          LazyCompile: ~connectionListener _http_server.js:412:28
      1   50.0%            LazyCompile: *onconnection net.js:1531:22
      1   50.0%            LazyCompile: *emit events.js:264:44
      1    8.3%        LazyCompile: ~defaultTriggerAsyncIdScope internal/async_hooks.js:421:36
      1  100.0%          LazyCompile: ~connectionListener _http_server.js:412:28
      1  100.0%            LazyCompile: *emit events.js:264:44
      5   22.7%      LazyCompile: *Socket net.js:268:16
      3   60.0%        LazyCompile: *onconnection net.js:1531:22
      1   20.0%        LazyCompile: ~onconnection net.js:1531:22
      1   20.0%        LazyCompile: ~initSocket /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/easy_sock/lib/easy_sock.js:174:20
      1  100.0%          LazyCompile: ~Easysock.write /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/easy_sock/lib/easy_sock.js:76:36
      1  100.0%            LazyCompile: ~data /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:5:34
      1    4.5%      LazyCompile: ~once events.js:434:44
      1  100.0%        LazyCompile: ~<anonymous> internal/console/constructor.js:337:10
      1  100.0%          LazyCompile: ~afterWrite internal/streams/writable.js:456:20
      1  100.0%            LazyCompile: ~afterWriteTick internal/streams/writable.js:451:24
      1    4.5%      LazyCompile: ~clearIncoming _http_server.js:714:23
      1  100.0%        LazyCompile: ~resOnFinish _http_server.js:756:21
      1  100.0%          LazyCompile: *emit events.js:264:44
      1  100.0%            LazyCompile: ~onFinish _http_outgoing.js:764:18
      1    4.5%      LazyCompile: *value internal/console/constructor.js:258:20
      1  100.0%        LazyCompile: *warn internal/console/constructor.js:362:7
      1  100.0%          t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1  100.0%            LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:199:10
      1    4.5%      LazyCompile: *once events.js:434:44
      1  100.0%        LazyCompile: *Readable.read internal/streams/readable.js:390:35
      1  100.0%          LazyCompile: *resume_ internal/streams/readable.js:965:17
      1  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      1    4.5%      LazyCompile: *assignSocket _http_server.js:220:62
      1  100.0%        LazyCompile: *parserOnIncoming _http_server.js:809:26
      1  100.0%          LazyCompile: *parserOnHeadersComplete _http_common.js:75:33

    972   14.9%  T __kernelrpc_mach_port_set_attributes
    936   96.3%    LazyCompile: *clearBuffer internal/streams/writable.js:493:21
    936  100.0%      LazyCompile: *end _http_outgoing.js:769:45
    936  100.0%        LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
    576   61.5%          LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
    576  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
    360   38.5%          LazyCompile: ~onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
    360  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
     17    1.7%    t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      3   17.6%      t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1   33.3%        LazyCompile: ~structuredStack structured-stack:3:38
      1  100.0%          LazyCompile: ~isInsideNodeModules internal/util.js:353:29
      1  100.0%            LazyCompile: ~showFlaggedDeprecation buffer.js:180:32
      1   33.3%        LazyCompile: ~checkIsHttpToken _http_common.js:219:26
      1  100.0%          LazyCompile: ~<anonymous> _http_outgoing.js:540:44
      1  100.0%            LazyCompile: ~hidden internal/errors.js:286:25
      1   33.3%        Eval: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/debug/src/node.js:1:1
      1  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1072:37
      1    5.9%      LazyCompile: ~resolvePackageTarget internal/modules/esm/resolve.js:371:30
      1  100.0%        LazyCompile: ~packageExportsResolve internal/modules/esm/resolve.js:467:31
      1  100.0%          LazyCompile: ~resolveExports internal/modules/cjs/loader.js:422:24
      1  100.0%            LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:444:28
      1    5.9%      LazyCompile: ~resolveExports internal/modules/cjs/loader.js:422:24
      1  100.0%        LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:444:28
      1  100.0%          LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:796:35
      1  100.0%            LazyCompile: ~Module._load internal/modules/cjs/loader.js:704:24
      1    5.9%      LazyCompile: ~readSync fs.js:555:18
      1  100.0%        LazyCompile: ~tryReadSync fs.js:362:21
      1  100.0%          LazyCompile: ~readFileSync fs.js:374:22
      1  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1072:37
      1    5.9%      LazyCompile: ~r /Users/qscbfe/Library/Application Support/Code/User/workspaceStorage/fdd202748a5fdca895b2b042014bcb9e/ms-vscode.js-debug/bootloader.js:1:33
      1  100.0%        LazyCompile: ~<anonymous> /Users/qscbfe/Library/Application Support/Code/User/workspaceStorage/fdd202748a5fdca895b2b042014bcb9e/ms-vscode.js-debug/bootloader.js:7:29738
      1  100.0%          LazyCompile: ~r /Users/qscbfe/Library/Application Support/Code/User/workspaceStorage/fdd202748a5fdca895b2b042014bcb9e/ms-vscode.js-debug/bootloader.js:1:33
      1  100.0%            LazyCompile: ~<anonymous> /Users/qscbfe/Library/Application Support/Code/User/workspaceStorage/fdd202748a5fdca895b2b042014bcb9e/ms-vscode.js-debug/bootloader.js:7:27277
      1    5.9%      LazyCompile: ~push internal/fixed_queue.js:99:7
      1  100.0%        LazyCompile: ~nextTick internal/process/task_queues.js:101:18
      1  100.0%          LazyCompile: ~load /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/register/lib/cache.js:83:14
      1  100.0%            LazyCompile: ~register /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/register/lib/node.js:130:18
      1    5.9%      LazyCompile: ~getStat /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/browserslist/node.js:199:28
      1  100.0%        LazyCompile: ~browserslist /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/browserslist/index.js:409:22
      1  100.0%          LazyCompile: ~resolveTargets /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/helper-compilation-targets/lib/index.js:167:24
      1  100.0%            LazyCompile: ~getTargets /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/helper-compilation-targets/lib/index.js:176:20
      1    5.9%      LazyCompile: ~get /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/core/lib/index.js:113:17
      1  100.0%        t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1  100.0%          t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1  100.0%            LazyCompile: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/core/lib/config/full.js:202:82
      1    5.9%      LazyCompile: ~cloneDeep /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/clone-deep/index.js:11:19
      1  100.0%        LazyCompile: ~compile /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/register/lib/node.js:56:17
      1  100.0%          LazyCompile: ~compileHook /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/register/lib/node.js:100:21
      1  100.0%            LazyCompile: ~_compile /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/pirates/lib/index.js:123:43
      1    5.9%      LazyCompile: ~Buffer buffer.js:280:16
      1  100.0%        LazyCompile: ~initSocket /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/easy_sock/lib/easy_sock.js:174:20
      1  100.0%          LazyCompile: ~Easysock.write /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/easy_sock/lib/easy_sock.js:76:36
      1  100.0%            LazyCompile: ~data /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:5:34
      1    5.9%      LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
      1  100.0%        LazyCompile: ~onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
      1  100.0%          t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      1    5.9%      LazyCompile: *emit events.js:264:44
      1    5.9%      Eval: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/core/lib/parse.js:1:1
      1  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1072:37
      1  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:916:33
      1    5.9%      Eval: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/core/lib/gensync-utils/async.js:1:1
      1  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1072:37
      1  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:916:33
     10    1.0%    LazyCompile: *writevGeneric internal/stream_base_commons.js:118:23
     10  100.0%      LazyCompile: ~Socket._writeGeneric net.js:759:42
     10  100.0%        LazyCompile: ~Socket._writev net.js:791:36
     10  100.0%          LazyCompile: ~doWrite internal/streams/writable.js:367:17
     10  100.0%            LazyCompile: ~clearBuffer internal/streams/writable.js:493:21

    487    7.5%  T _vm_copy

    382    5.9%  T __ZN4node7TCPWrap7ConnectERKN2v820FunctionCallbackInfoINS1_5ValueEEE
    382  100.0%    T __ZN2v88internal21Builtin_HandleApiCallEiPmPNS0_7IsolateE
    382  100.0%      LazyCompile: ~internalConnect net.js:865:25
    154   40.3%        LazyCompile: *<anonymous> net.js:1007:73
    154  100.0%          LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
    136   35.6%        LazyCompile: *defaultTriggerAsyncIdScope internal/async_hooks.js:421:36
    136  100.0%          LazyCompile: ~<anonymous> net.js:1007:73
    136  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     92   24.1%        LazyCompile: ~defaultTriggerAsyncIdScope internal/async_hooks.js:421:36
     92  100.0%          LazyCompile: ~<anonymous> net.js:1007:73
